rsi_9,rsi_14,sma_5,sma_spread,cruce_sma,breakout,rsi_reversion,racha_actual,payout,puntaje_estrategia,volatilidad,es_rebote,hora_bucket,result_bin
51.68,54.65,3963.808,0.0026292468521190307,0.4775532221032809,0.16973527018569987,0.03164999999999999,1.0,0.95,0.20140054311100652,0.0998284062283078,0.022912499999999995,0.723404255319149,0
51.68,54.65,3963.808,0.0026292468521190307,0.4775532221032809,0.16973527018569987,0.03164999999999999,1.0,0.95,0.20140054311100652,0.0998284062283078,0.022912499999999995,0.723404255319149,0
51.2,54.3,3963.714,0.0026114296843974586,0.4763725549608002,0.16789430328260913,0.027499999999999997,-3.0,0.95,0.20397898610628631,0.09918663723477905,0.051875,0.723404255319149,0
51.68,54.65,3963.808,0.0026292468521190307,0.4775532221032809,0.16973527018569987,0.03164999999999999,5.0,0.95,0.20980054311100652,0.0998284062283078,0.0829125,0.723404255319149,0
51.2,54.3,3963.714,0.0026114296843974586,0.4763725549608002,0.16789430328260913,0.027499999999999997,1.0,0.95,0.1997789861062863,0.09918663723477905,0.021875,0.723404255319149,0
51.68,54.65,3963.808,0.0026292468521190307,0.4775532221032809,0.16973527018569987,0.03164999999999999,-1.0,0.95,0.20140054311100652,0.0998284062283078,0.022912499999999995,0.723404255319149,0
92.45,56.07,1398.3380000000002,0.003064057561099336,0.5035088055004671,0.24820273363200698,0.7842857142857144,-1.0,0.9550000000000001,0.4373722650270746,0.11534921267959297,0.21107142857142858,0.7446808510638298,1
92.59,56.47,1398.384,0.0030887798243714056,0.5048367881969347,0.24969450220392247,0.7882857142857144,-1.0,0.9550000000000001,0.43892583725381035,0.11622360305687407,0.21207142857142858,0.7446808510638298,1
92.45,56.07,1398.3380000000002,0.003064057561099336,0.5035088055004671,0.24820273363200698,0.7842857142857144,-4.0,0.9550000000000001,0.466849529174587,0.11534921267959297,0.4216233153393743,0.7446808510638298,1
92.59,56.47,1398.384,0.0030887798243714056,0.5048367881969347,0.24969450220392247,0.7882857142857144,-1.0,0.9550000000000001,0.43892583725381035,0.11622360305687407,0.21207142857142858,0.7446808510638298,1
92.45,56.07,1398.3380000000002,0.003064057561099336,0.5035088055004671,0.24820273363200698,0.7842857142857144,-1.0,0.9550000000000001,0.4373722650270746,0.11534921267959297,0.21107142857142858,0.7446808510638298,1
92.45,56.07,1398.3380000000002,0.003064057561099336,0.5035088055004671,0.24820273363200698,0.7842857142857144,-2.0,0.9550000000000001,0.4394722650270746,0.11534921267959297,0.2260714285714286,0.7446808510638298,1
94.41,59.83,1402.3839999999998,0.004893753701485393,0.5740470226842426,0.29515325779879964,0.8402857142857142,1.0,0.95,0.47961601924764125,0.1777823583101934,0.22507142857142853,0.7446808510638298,1
94.41,59.83,1402.3839999999998,0.004893753701485393,0.5740470226842426,0.29515325779879964,0.8402857142857142,1.0,0.95,0.47961601924764125,0.1777823583101934,0.22507142857142853,0.7446808510638298,1
94.41,59.81,1402.382,0.0048926806128603735,0.5740174868525734,0.2951038564326952,0.8402857142857142,1.0,0.95,0.47959543229317086,0.1777470650567995,0.22507142857142853,0.7446808510638298,1
94.58,60.53,1402.476,0.004943114947037899,0.5753950132432143,0.2973430850209537,0.8451428571428571,1.0,0.95,0.48158520767444674,0.17940418415279813,0.22628571428571426,0.7446808510638298,1
94.41,59.83,1402.3839999999998,0.004893753701485393,0.5740470226842426,0.29515325779879964,0.8402857142857142,1.0,0.95,0.47961601924764125,0.1777823583101934,0.22507142857142853,0.7446808510638298,1
94.41,59.83,1402.3839999999998,0.004893753701485393,0.5740470226842426,0.29515325779879964,0.8402857142857142,1.0,0.95,0.47961601924764125,0.1777823583101934,0.22507142857142853,0.7446808510638298,1
95.29,94.19,1408.262,0.007193874139207824,0.6205985407671765,0.35179532599979085,0.8654285714285717,2.0,0.95,0.5158079182809585,0.25005466784492003,0.2463571428571429,0.7446808510638298,1
95.33,94.23,1408.29,0.007208857321554983,0.6208211699351702,0.3519694218219407,0.8665714285714285,2.0,0.95,0.5161758876412477,0.25050399589067274,0.24664285714285714,0.7446808510638298,1
95.34,94.23,1408.292,0.007209927543124681,0.6208370426240759,0.3519818442811955,0.866857142857143,2.0,0.95,0.5162460388914664,0.2505360802755199,0.24671428571428575,0.7446808510638298,1
95.32,94.22,1408.284,0.007205646652253022,0.6207735283847238,0.3519321440903715,0.8662857142857141,2.0,0.95,0.516088283181462,0.25040773435703256,0.24657142857142852,0.7446808510638298,1
95.34,94.23,1408.292,0.007209927543124681,0.6208370426240759,0.3519818442811955,0.866857142857143,2.0,0.95,0.5162460388914664,0.2505360802755199,0.24671428571428575,0.7446808510638298,1
95.31,94.21,1408.2759999999998,0.007201365749134235,0.6207099514680285,0.35188241626992806,0.8660000000000001,2.0,0.95,0.5159919350885847,0.25027936609199175,0.24650000000000002,0.7446808510638298,1
56.14,70.91,1411.628,0.007496838252717037,0.6249560714109481,0.2877589883087069,0.16885714285714276,3.0,0.95,0.3543705193688913,0.259088082193618,0.08721428571428569,0.7446808510638298,1
39.83,50.11,3947.044,0.0027874647208733826,0.7376071703813738,0.18056943208764276,0.05140000000000001,3.0,0.95,0.2636355010858131,0.10550734632083925,0.05785,0.7446808510638298,1
54.73,70.15,1411.476,0.007415676125519847,0.6238177582763635,0.2834359128194901,0.1471428571428573,3.0,0.95,0.3482440057397373,0.25667881399044723,0.08178571428571432,0.7446808510638298,1
39.21,49.6,3946.904,0.002814017638013927,0.7392222066764836,0.18275252175228845,0.055949999999999986,3.0,0.95,0.26553666396165226,0.10645689753711762,0.0589875,0.7446808510638298,1
56.67,71.2,1411.688,0.007528874722636516,0.6253997552785305,0.28940544980652005,0.1771428571428572,3.0,0.95,0.3567117426745256,0.2600369222087937,0.0892857142857143,0.7446808510638298,1
56.67,71.2,1411.688,0.007528874722636516,0.6253997552785305,0.28940544980652005,0.1771428571428572,3.0,0.95,0.3567117426745256,0.2600369222087937,0.0892857142857143,0.7446808510638298,1
54.44,71.48,1414.578,0.0070288804513688975,0.6180952316761064,0.280586959199303,0.18514285714285725,4.0,0.95,0.3557585543879625,0.24508884945446674,0.10628571428571432,0.7446808510638298,1
58.55,73.51,1415.044,0.007277083699631615,0.6218253079838788,0.2931379398720872,0.2431428571428573,4.0,0.95,0.3725834269195274,0.2525466233112442,0.12078571428571433,0.7446808510638298,1
58.56,73.52,1415.046,0.007278148860905129,0.621840861003125,0.2931816243201439,0.24342857142857133,4.0,0.95,0.37266099801491515,0.2525784689684485,0.12085714285714283,0.7446808510638298,1
57.02,72.74,1414.86,0.0071790856186932485,0.8703780502433407,0.2883888750381498,0.221142857142857,4.0,0.95,0.41618934301287364,0.24961091333122987,0.11528571428571424,0.7446808510638298,1
57.26,72.86,1414.888,0.007193998784152982,0.6206003959822726,0.2891282042642211,0.22457142857142856,4.0,0.95,0.36718419351847287,0.2500584069113908,0.11614285714285713,0.7446808510638298,1
57.02,72.74,1414.86,0.0071790856186932485,0.8703780502433407,0.2883888750381498,0.221142857142857,4.0,0.95,0.41618934301287364,0.24961091333122987,0.11528571428571424,0.7446808510638298,1
59.3,59.39,1421.8740000000005,0.008708508131925481,0.6397978053735647,0.2872672904661259,0.09344999999999998,5.0,0.95,0.29801258728504093,0.29414138619526176,0.09836249999999999,0.7446808510638298,1
60.18,59.94,1421.9900000000002,0.008770047406141113,0.6404581492654756,0.29011262069875354,0.10059999999999997,5.0,0.95,0.3005036160640222,0.29587677050486727,0.10014999999999999,0.7446808510638298,0
60.3,60.01,1422.006,0.008778535383183404,0.6405486085264055,0.2904933976163535,0.10154999999999997,5.0,0.95,0.3008364661919199,0.29611579319846437,0.10038749999999999,0.7446808510638298,0
59.62,59.59,1421.9160000000002,0.008730789885705905,0.6400378159880099,0.288301466092435,0.09605000000000001,5.0,0.95,0.298918097993679,0.2947702166381967,0.0990125,0.7446808510638298,0
60.33,60.03,1422.01,0.008780657369917212,0.6405711999223004,0.29059250899847316,0.1018,5.0,0.95,0.30092330062540407,0.2961755359809195,0.10045,0.7446808510638298,0
59.59,59.57,1421.912,0.008728667828218808,0.6400150030391686,0.2882022468399859,0.09580000000000001,5.0,0.95,0.29883118365801575,0.2947103525718565,0.09895,0.7446808510638298,0
81.44,70.28,1429.5700000000002,0.009449310402291588,0.6472538033295185,0.3461297308794603,0.46971428571428564,6.0,0.95,0.4482763309274322,0.3147505977381212,0.2074285714285714,0.7446808510638298,0
81.37,70.2,1429.554,0.009440863616592602,0.6471744791431404,0.34581752059070553,0.46771428571428586,-1.0,0.9550000000000001,0.43740367706260214,0.3145190324266224,0.13192857142857145,0.7446808510638298,0
80.86,69.62,1429.436,0.009378567098434402,0.6465856449824257,0.34353856289743895,0.4531428571428571,-1.0,0.9550000000000001,0.43346928299537746,0.3128087793536146,0.12828571428571428,0.7446808510638298,1
